"trans_date_trans_time","category","amt","job","city","state","city_pop","dob","is_fraud"
"2019-02-21 01:59:14","grocery_pos",60.17,"Commercial/residential surveyor","Murrayville","IL",1512,"2003-05-07",0
"2019-12-12 19:42:30","shopping_pos",28.85,"Quantity surveyor","Bowersville","OH",338,"1988-07-28",0
"2019-12-07 06:38:53","gas_transport",55.31,"Wellsite geologist","Corona","CA",233717,"1966-05-22",0
"2019-08-18 06:06:23","gas_transport",67.07,"Public librarian","Jelm","WY",100,"1974-04-16",0
"2019-03-12 03:07:13","gas_transport",87.71,"Probation officer","Moulton","IA",1132,"1961-02-14",0
"2020-03-09 08:09:38","entertainment",128.07,"Event organiser","Harborcreek","PA",2518,"1946-02-02",0
"2019-12-21 16:47:01","travel",3.68,"Aeronautical engineer","Matthews","MO",1019,"1979-01-26",0
"2020-05-05 21:16:15","health_fitness",14.6,"Therapist, horticultural","Sula","MT",218,"1995-08-16",0
"2019-02-01 23:37:01","kids_pets",101.65,"Investment banker, corporate","Miamisburg","OH",36784,"1941-07-31",0
"2019-03-14 20:57:23","food_dining",176.76,"Psychotherapist, child","Pembroke Township","IL",2135,"2004-05-08",0
"2019-12-21 15:31:07","health_fitness",149.16,"Research officer, trade union","Georgetown","MN",346,"1976-12-14",0
"2019-10-26 23:47:18","home",33.89,"Engineer, electronics","Bowdoin","ME",3224,"1997-08-22",0
"2019-09-16 17:34:31","home",44.74,"Armed forces training and education officer","Port Costa","CA",198,"1959-03-31",0
"2019-04-30 20:15:43","home",15.19,"Herpetologist","Plymouth","CT",2376,"1973-04-06",0
"2020-03-25 15:59:16","home",21.95,"Airline pilot","Napa","CA",94014,"1985-08-21",0
"2019-04-07 00:13:46","misc_net",8.27,"Architectural technologist","Llano","NM",247,"1961-10-24",0
"2019-01-28 21:34:14","entertainment",14.73,"Toxicologist","Grover","NC",5621,"1973-11-14",0
"2020-06-12 07:42:59","shopping_pos",154.57,"Land/geomatics surveyor","Lamberton","MN",1507,"1993-10-12",0
"2020-01-07 00:11:56","gas_transport",80.52,"Naval architect","High Rolls Mountain Park","NM",899,"1967-08-30",0
"2020-02-24 08:25:29","grocery_pos",108.33,"Camera operator","Birmingham","IA",888,"1988-03-25",0
"2020-05-17 12:20:39","food_dining",18.88,"Therapist, music","Mountain Center","CA",1661,"1988-09-19",0
"2019-05-18 20:05:12","food_dining",4.99,"Academic librarian","Indianapolis","IN",910148,"1987-09-22",0
"2019-06-06 22:33:29","home",97.64,"Energy engineer","Corriganville","MD",626,"1960-12-13",0
"2019-10-16 23:18:37","home",31.03,"Call centre manager","Bailey","NC",6629,"1962-08-13",0
"2019-09-06 15:00:29","health_fitness",73.93,"Child psychotherapist","New Holstein","WI",5196,"1978-01-22",0
"2019-03-15 14:02:46","home",96.39,"Paramedic","Haw River","NC",6006,"1984-07-20",0
"2020-06-16 18:57:51","food_dining",29.37,"Therapist, art","Moriarty","NM",7268,"1988-08-04",0
"2019-12-25 09:27:28","misc_net",126.07,"Exhibition designer","Payson","IL",1656,"1969-08-04",0
"2019-05-01 16:52:34","shopping_net",305.52,"Sports development officer","Tyler","TX",144160,"1984-05-04",0
"2020-03-29 09:55:17","grocery_pos",93.21,"Medical physicist","Sturgis","MS",1923,"1960-01-16",0
"2019-09-03 09:01:52","grocery_pos",108.61,"Land/geomatics surveyor","Lamberton","MN",1507,"1993-10-12",0
"2020-02-09 20:40:08","home",90.56,"Dance movement psychotherapist","Doe Hill","VA",99,"1986-03-28",0
"2019-10-26 09:41:31","grocery_net",44.9,"Arts development officer","Hewitt","WI",828,"1991-08-19",0
"2020-05-12 19:23:29","home",22.14,"Editor, magazine features","Hawthorne","CA",93193,"1995-04-19",0
"2020-04-08 06:25:36","shopping_pos",1.25,"Analytical chemist","Minneapolis","MN",1022298,"1967-10-28",0
"2019-08-19 00:55:06","shopping_pos",75.99,"Applications developer","Winger","MN",516,"1966-06-07",0
"2019-12-06 15:11:18","personal_care",4.12,"Chartered public finance accountant","Moorhead","MS",2870,"1999-03-05",0
"2019-06-08 04:55:37","grocery_pos",80.68,"Engineer, aeronautical","Phil Campbell","AL",5778,"1952-12-05",0
"2020-03-14 12:36:30","health_fitness",84.22,"Scientist, audiological","Bauxite","AR",4074,"1975-12-20",0
"2020-01-31 13:31:54","shopping_pos",1.1,"Lexicographer","West Harrison","NY",11250,"1977-08-16",0
"2019-03-26 20:49:32","travel",405.9,"Radio broadcast assistant","Tower Hill","IL",1532,"1980-01-09",0
"2019-04-14 19:46:50","shopping_net",5.28,"Surveyor, rural practice","Saint Amant","LA",10076,"1977-12-16",0
"2019-12-23 13:27:48","health_fitness",20.13,"Herbalist","Denham Springs","LA",71335,"1994-05-31",0
"2019-09-08 17:58:58","food_dining",63.51,"Librarian, academic","Sontag","MS",1196,"1958-06-11",0
"2020-01-10 08:40:21","misc_pos",39.3,"Immigration officer","Fiddletown","CA",832,"1987-05-19",0
"2019-07-31 23:46:59","personal_care",7.36,"Community pharmacist","Belmond","IA",3032,"1964-08-08",0
"2020-05-23 23:53:51","home",9.74,"Trading standards officer","Duncan","MS",466,"1955-04-03",0
"2019-02-16 02:57:00","gas_transport",64.94,"Probation officer","Hudson","KS",215,"1968-11-22",0
"2019-02-09 17:53:49","personal_care",55.78,"Public relations account executive","Meredith","CO",61,"1939-11-04",0
"2019-01-07 15:27:45","kids_pets",20.57,"Fine artist","Florence","MS",19685,"1984-12-24",0
"2019-04-06 16:21:48","home",86.14,"Museum/gallery conservator","Beaverdam","OH",349,"1978-12-25",0
"2019-05-27 23:03:15","kids_pets",13.46,"Travel agency manager","Jordanville","NY",824,"1985-09-01",0
"2019-05-22 18:15:54","shopping_pos",6.03,"Tax inspector","Rocky Mount","MO",1847,"1988-10-26",0
"2020-04-06 08:49:12","grocery_net",32.27,"Barista","Oakland","CA",381459,"1974-01-03",0
"2019-04-12 20:06:09","kids_pets",102.66,"Lecturer, higher education","Riverton","WY",19408,"1993-09-11",0
"2020-05-10 19:47:04","shopping_pos",26.4,"Scientist, audiological","Halstad","MN",771,"1972-06-14",0
"2019-12-13 15:43:04","shopping_net",6.4,"Therapist, sports","Smiths Grove","KY",6841,"1999-06-06",0
"2019-01-06 09:25:03","misc_net",2.09,"Podiatrist","Cecilton","MD",663,"1969-01-14",0
"2020-04-13 18:53:34","kids_pets",142.24,"Naval architect","Hawley","MN",4508,"1949-04-24",0
"2019-01-02 12:12:27","shopping_net",7.42,"Surgeon","Texarkana","AR",36438,"1985-04-15",0
"2020-03-10 19:18:05","home",47.68,"Toxicologist","Grover","NC",5621,"1973-11-14",0
"2019-05-12 09:27:12","misc_net",4.22,"Museum education officer","Kent","OR",60,"1942-04-03",0
"2019-10-11 20:33:46","health_fitness",60.38,"Retail merchandiser","Cochranton","PA",5507,"1973-07-28",0
"2019-01-02 00:34:58","misc_net",1.17,"Magazine features editor","Norman","AR",1383,"1966-08-08",0
"2019-12-22 20:45:26","home",84.52,"Toxicologist","Saint Bonaventure","NY",1453,"1974-02-15",0
"2019-05-05 17:45:15","kids_pets",38.56,"Naval architect","High Rolls Mountain Park","NM",899,"1967-08-30",0
"2019-11-10 08:35:57","gas_transport",98.48,"Landscape architect","Cisco","IL",478,"1960-01-13",0
